import_short_name,repo,cat,isML,comments
requests_oauthlib,2,,,
future,2,,,
_collections,2,,,
ftplib,2,,,
lzma,2,,,
ftfy,2,,,
frog,2,NLP,,"https://github.com/proycon/python-frog - Python bindings to the dutch NLP tool Frog (pos tagger, lemmatiser, NER tagger, morphological analysis, shallow parser, dependency parser) "
_abcoll,2,,,
fractions,2,,,
common,2,,,
ws4py,2,,,
webapp2,2,,,
ra2616Test,2,,,Local module - https://github.com/rohanag/StockMarketSentimentAnalysis
maxent,2,,,
fabric,2,,,
py_compile,2,,,
cv2,2,,,
ntpath,2,,,
plac,2,,,
emoji,2,,,
pip,2,,,
nn,2,,,
win32api,2,,,
SIGNATURE_RSA,2,,,
SIGNATURE_TYPE_AUTH_HEADER,2,,,
tkinter,2,,,
diesel,2,,,
ntlm,2,,,
dill,2,,,
pdfminer,2,,,
SIGNATURE_TYPE_BODY,2,,,
tree,2,,,
paste,2,,,
past,2,,,
win32con,2,,,
oauthlib,2,,,
parse,2,,,
SIGNATURE_TYPE_QUERY,2,,,
win32file,2,,,
org,2,,,
ordereddict,2,,,
doc,2,,,
docopt,2,,,
opts,2,,,
enchant,2,,,
news,2,,,
decoder,2,,,
new,2,,,
mx,2,,,
pwd,2,,,
cx_Oracle,2,,,
mydatasets,2,,,
psyco,2,,,
naivebayes,2,LOCAL,,
progressbar,2,,,
progress,2,,,
profile,2,,,
dask,2,,,"https://dask.org/ - “Dask provides advanced parallelism for analytics, enabling performance at scale for the tools you love  “"
data_helper,2,,,
RequestTokenEndpoint,2,,,
data_util,2,,,
ndg,2,,,
preprocessing,2,,,
dataset,2,WRANGLE,,"https://dataset.readthedocs.io/en/latest/ - databases for lazy people (seems to be more a data managment/wrangling tool. If we include pandas, then perhaps it should also be included)"
ResourceEndpoint,2,,,
word,2,,,
widgets,2,,,
netrc,2,,,
SIGNATURE_HMAC,2,,,
SIGNATURE_METHODS,2,,,
pos,2,LOCAL,,Parts Of Speech?
porter,2,,,
encodings,2,,,
certifi,2,,,
com,2,,,
speech,2,,,
xmltodict,2,,,
iconv_codec,2,,,
tables,2,WRANGLE,,https://www.pytables.org/ - “PyTables is a package for managing hierarchical datasets and designed to efficiently and easily cope with extremely large amounts of data”
alex_asr,2,NLP,,https://pypi.org/project/alex_asr/ - Incremental speech recognition decoder for Kaldi NNET2 and GMM models.  
_winreg,2,,,
seaborn,2,VIS,,https://seaborn.pydata.org/ - seaborn: statistical data visualization¶ 
sqlalchemy,2,,,
sphinxbase,2,,,
sphinx_rtd_theme,2,,,
_thread,2,,,
sphinx,2,,,
html2text,2,,,
_pickle,2,,,
backports,2,,,
backend,2,,,
ipdb,2,,,
layers,2,,,
yargy,2,,,
irc,2,,,
bjoern,2,,,
httplib2,2,,,
gtk,2,,,
attr,2,,,
version,2,,,
blinker,2,,,
gunicorn,2,,,
socketserver,2,,,
java,2,,,
keyring,2,,,
AccessTokenEndpoint,2,,,
